DATE_TIME,STATION,TOTAL_TRAFFIC
2017-05-19 16:00:00,23 ST,67348.5
2017-05-19 12:00:00,34 ST-PENN STA,67286.0
2017-05-25 12:00:00,34 ST-PENN STA,67226.875
2017-05-25 16:00:00,23 ST,67141.35714285693
2017-05-05 12:00:00,GRD CNTRL-42 ST,67118.2
2017-03-07 08:00:00,34 ST-HERALD SQ,67052.0
2017-04-21 12:00:00,GRD CNTRL-42 ST,66939.1250000028
2017-04-25 08:00:00,GRD CNTRL-42 ST,66878.35000000164
2017-04-10 08:00:00,GRD CNTRL-42 ST,66864.30357143295
2017-03-08 16:00:00,TIMES SQ-42 ST,66809.0
2017-04-03 16:00:00,23 ST,66757.0
2017-04-13 12:00:00,GRD CNTRL-42 ST,66710.80357142666
2017-04-11 08:00:00,GRD CNTRL-42 ST,66518.30357142666
2017-03-31 12:00:00,34 ST-PENN STA,66341.25
2017-04-12 08:00:00,GRD CNTRL-42 ST,66295.05357142666
2017-05-18 12:00:00,GRD CNTRL-42 ST,66261.69290399534
2017-03-13 20:00:00,GRD CNTRL-42 ST,66235.61177441111
2017-05-12 12:00:00,GRD CNTRL-42 ST,66165.69290399516
2017-05-15 16:00:00,23 ST,66082.0
2017-04-07 16:00:00,23 ST,65928.25
2017-05-22 12:00:00,GRD CNTRL-42 ST,65800.94290399534
2017-03-16 12:00:00,34 ST-PENN STA,65771.59
2017-04-28 16:00:00,23 ST,65737.75
2017-04-03 08:00:00,GRD CNTRL-42 ST,65730.11607143052
2017-04-13 16:00:00,23 ST,65663.5
2017-03-02 16:00:00,TIMES SQ-42 ST,65663.0
2017-05-12 16:00:00,23 ST,65634.0
2017-04-07 12:00:00,GRD CNTRL-42 ST,65494.303571432945
2017-04-27 08:00:00,GRD CNTRL-42 ST,65434.65000000163
2017-05-22 16:00:00,23 ST,65358.25
2017-03-31 16:00:00,23 ST,65275.5
2017-04-21 12:00:00,34 ST-PENN STA,65261.549999997296
2017-03-08 08:00:00,34 ST-HERALD SQ,65148.0
2017-04-21 08:00:00,GRD CNTRL-42 ST,65136.00000000023
2017-05-16 12:00:00,34 ST-PENN STA,65132.433848797256
2017-03-31 08:00:00,GRD CNTRL-42 ST,65112.05357142666
2017-05-01 16:00:00,23 ST,64998.75
2017-04-21 16:00:00,23 ST,64983.0
2017-04-13 16:00:00,TIMES SQ-42 ST,64896.5
2017-03-15 12:00:00,GRD CNTRL-42 ST,64893.88218430852
2017-05-12 08:00:00,GRD CNTRL-42 ST,64828.94290399535
2017-05-23 12:00:00,GRD CNTRL-42 ST,64824.58996281948
2017-05-19 12:00:00,GRD CNTRL-42 ST,64778.40718970964
2017-05-17 12:00:00,GRD CNTRL-42 ST,64692.192903995114
2017-04-28 12:00:00,34 ST-PENN STA,64602.982142857174
2017-04-13 12:00:00,34 ST-PENN STA,64536.0
2017-03-08 16:00:00,14 ST-UNION SQ,64520.75
2017-03-01 08:00:00,34 ST-HERALD SQ,64509.0
2017-03-27 16:00:00,23 ST,64368.80211727321
2017-03-28 12:00:00,GRD CNTRL-42 ST,64302.0
2017-05-12 12:00:00,34 ST-PENN STA,64281.26249999972
2017-05-05 12:00:00,34 ST-PENN STA,64259.25
2017-04-13 08:00:00,GRD CNTRL-42 ST,64229.30357143117
2017-05-24 12:00:00,34 ST-PENN STA,64167.0
2017-04-18 08:00:00,GRD CNTRL-42 ST,64126.33333333414
2017-03-03 16:00:00,TIMES SQ-42 ST,64119.20000000601
2017-03-06 08:00:00,34 ST-HERALD SQ,64098.0
2017-04-07 08:00:00,GRD CNTRL-42 ST,64055.67857142666
2017-05-11 08:00:00,GRD CNTRL-42 ST,64016.69290399535
2017-04-14 16:00:00,GRD CNTRL-42 ST,64014.05357142666
2017-04-27 12:00:00,GRD CNTRL-42 ST,63949.84999999837
2017-05-05 08:00:00,GRD CNTRL-42 ST,63885.05
2017-05-24 16:00:00,TIMES SQ-42 ST,63843.5
2017-03-09 08:00:00,34 ST-HERALD SQ,63776.0
2017-03-03 16:00:00,14 ST-UNION SQ,63719.75
2017-04-19 12:00:00,GRD CNTRL-42 ST,63703.25
2017-05-22 12:00:00,34 ST-PENN STA,63685.75
2017-03-30 12:00:00,GRD CNTRL-42 ST,63669.05357142666
2017-03-01 16:00:00,TIMES SQ-42 ST,63668.0
2017-04-25 12:00:00,GRD CNTRL-42 ST,63607.39999999837
2017-04-14 12:00:00,34 ST-PENN STA,63553.5
2017-04-04 12:00:00,GRD CNTRL-42 ST,63516.303571432945
2017-03-17 16:00:00,TIMES SQ-42 ST,63498.75
2017-05-10 12:00:00,GRD CNTRL-42 ST,63479.4429039954
2017-05-24 12:00:00,GRD CNTRL-42 ST,63473.30424853353
2017-04-20 12:00:00,GRD CNTRL-42 ST,63394.95000000163
2017-05-23 12:00:00,34 ST-PENN STA,63385.0
2017-04-07 12:00:00,34 ST-PENN STA,63288.0
2017-05-15 12:00:00,34 ST-PENN STA,63219.987972508585
2017-04-10 12:00:00,GRD CNTRL-42 ST,63186.05357142666
2017-04-26 12:00:00,GRD CNTRL-42 ST,63069.650000000234
2017-04-19 16:00:00,TIMES SQ-42 ST,62975.5
2017-05-30 12:00:00,GRD CNTRL-42 ST,62974.0
2017-04-17 08:00:00,GRD CNTRL-42 ST,62948.553571432945
2017-05-04 12:00:00,34 ST-PENN STA,62925.25
2017-03-30 12:00:00,34 ST-PENN STA,62925.0
2017-04-05 12:00:00,GRD CNTRL-42 ST,62922.55357142666
2017-03-07 16:00:00,TIMES SQ-42 ST,62885.0
2017-04-18 16:00:00,23 ST,62877.5
2017-04-12 16:00:00,TIMES SQ-42 ST,62785.5
2017-05-26 08:00:00,34 ST-PENN STA,62756.75
2017-03-09 16:00:00,14 ST-UNION SQ,62717.0
2017-05-17 16:00:00,TIMES SQ-42 ST,62696.0
2017-03-10 16:00:00,TIMES SQ-42 ST,62673.0
2017-03-02 08:00:00,34 ST-HERALD SQ,62611.0
2017-05-03 12:00:00,GRD CNTRL-42 ST,62537.829268292684
2017-04-28 12:00:00,GRD CNTRL-42 ST,62504.85000000163
2017-04-24 08:00:00,GRD CNTRL-42 ST,62486.0999999993
2017-05-30 12:00:00,34 ST-PENN STA,62480.5
2017-05-19 08:00:00,GRD CNTRL-42 ST,62435.80004685231
2017-04-05 16:00:00,TIMES SQ-42 ST,62385.0
2017-05-01 08:00:00,GRD CNTRL-42 ST,62367.55
