DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
4/4/17 8:00,34 ST-PENN STA,71684.875,4/4/17,8:00:00
4/4/17 8:00,GRD CNTRL-42 ST,71523.05357,4/4/17,8:00:00
5/4/17 16:00,23 ST,71460.5,5/4/17,16:00:00
3/30/17 16:00,23 ST,71435.22222,3/30/17,16:00:00
5/11/17 16:00,23 ST,71263.25,5/11/17,16:00:00
4/28/17 8:00,34 ST-PENN STA,71073.5,4/28/17,8:00:00
5/10/17 8:00,GRD CNTRL-42 ST,70947.4429,5/10/17,8:00:00
5/19/17 8:00,34 ST-PENN STA,70861.25,5/19/17,8:00:00
4/26/17 16:00,23 ST,70826.5,4/26/17,16:00:00
5/9/17 8:00,GRD CNTRL-42 ST,70767.8179,5/9/17,8:00:00
4/17/17 8:00,34 ST-PENN STA,70765.42072,4/17/17,8:00:00
4/20/17 16:00,23 ST,70736.25,4/20/17,16:00:00
5/26/17 16:00,34 ST-HERALD SQ,70591.75,5/26/17,16:00:00
5/17/17 16:00,23 ST,70378,5/17/17,16:00:00
4/5/17 16:00,23 ST,70352.5,4/5/17,16:00:00
3/16/17 12:00,GRD CNTRL-42 ST,70222.43946,3/16/17,12:00:00
3/15/17 8:00,GRD CNTRL-42 ST,70097.31804,3/15/17,8:00:00
4/20/17 8:00,GRD CNTRL-42 ST,70078.3,4/20/17,8:00:00
5/25/17 12:00,GRD CNTRL-42 ST,70026.45467,5/25/17,12:00:00
5/4/17 8:00,GRD CNTRL-42 ST,69995.0561,5/4/17,8:00:00
3/29/17 16:00,23 ST,69876.30212,3/29/17,16:00:00
3/28/17 16:00,23 ST,69841.80212,3/28/17,16:00:00
5/10/17 16:00,23 ST,69768.25,5/10/17,16:00:00
3/27/17 8:00,GRD CNTRL-42 ST,69765.5,3/27/17,8:00:00
5/26/17 12:00,GRD CNTRL-42 ST,69743.0679,5/26/17,12:00:00
4/27/17 8:00,34 ST-PENN STA,69672.58333,4/27/17,8:00:00
5/16/17 16:00,23 ST,69597.75,5/16/17,16:00:00
5/3/17 16:00,23 ST,69564.91667,5/3/17,16:00:00
4/6/17 12:00,GRD CNTRL-42 ST,69526.80357,4/6/17,12:00:00
4/5/17 8:00,GRD CNTRL-42 ST,69429.80357,4/5/17,8:00:00
5/18/17 12:00,34 ST-PENN STA,69351.8256,5/18/17,12:00:00
3/17/17 16:00,23 ST,69234.36942,3/17/17,16:00:00
3/13/17 16:00,23 ST,69108,3/13/17,16:00:00
5/12/17 8:00,34 ST-PENN STA,69040.5,5/12/17,8:00:00
3/15/17 16:00,23 ST,69017.14286,3/15/17,16:00:00
5/16/17 8:00,GRD CNTRL-42 ST,68879.1929,5/16/17,8:00:00
